city,date,day_of_week,violation_type,count,period,treatment,release_id,release_date,days_from_release
Chicago,2015-03-03,1,redlight,891.0,pre,gta,GTA V,2015-04-14,-42
Chicago,2015-03-03,1,speed,2242.0,pre,gta,GTA V,2015-04-14,-42
Chicago,2015-03-04,2,redlight,1230.0,pre,gta,GTA V,2015-04-14,-41
Chicago,2015-03-04,2,speed,3472.0,pre,gta,GTA V,2015-04-14,-41
Chicago,2015-03-05,3,redlight,1296.0,pre,gta,GTA V,2015-04-14,-40
Chicago,2015-03-05,3,speed,3483.0,pre,gta,GTA V,2015-04-14,-40
Chicago,2015-03-06,4,redlight,1185.0,pre,gta,GTA V,2015-04-14,-39
Chicago,2015-03-06,4,speed,4038.0,pre,gta,GTA V,2015-04-14,-39
Chicago,2015-03-07,5,redlight,1258.0,pre,gta,GTA V,2015-04-14,-38
Chicago,2015-03-07,5,speed,2989.0,pre,gta,GTA V,2015-04-14,-38
Chicago,2015-03-08,6,redlight,975.0,pre,gta,GTA V,2015-04-14,-37
Chicago,2015-03-08,6,speed,2715.0,pre,gta,GTA V,2015-04-14,-37
Chicago,2015-03-09,0,redlight,1060.0,pre,gta,GTA V,2015-04-14,-36
Chicago,2015-03-09,0,speed,4100.0,pre,gta,GTA V,2015-04-14,-36
Chicago,2015-03-10,1,redlight,904.0,pre,gta,GTA V,2015-04-14,-35
Chicago,2015-03-10,1,speed,3356.0,pre,gta,GTA V,2015-04-14,-35
Chicago,2015-03-11,2,redlight,1103.0,pre,gta,GTA V,2015-04-14,-34
Chicago,2015-03-11,2,speed,3757.0,pre,gta,GTA V,2015-04-14,-34
Chicago,2015-03-12,3,redlight,1071.0,pre,gta,GTA V,2015-04-14,-33
Chicago,2015-03-12,3,speed,4122.0,pre,gta,GTA V,2015-04-14,-33
Chicago,2015-03-13,4,redlight,1208.0,pre,gta,GTA V,2015-04-14,-32
Chicago,2015-03-13,4,speed,4403.0,pre,gta,GTA V,2015-04-14,-32
Chicago,2015-03-14,5,redlight,1289.0,pre,gta,GTA V,2015-04-14,-31
Chicago,2015-03-14,5,speed,3097.0,pre,gta,GTA V,2015-04-14,-31
Chicago,2015-03-15,6,redlight,1138.0,pre,gta,GTA V,2015-04-14,-30
Chicago,2015-03-15,6,speed,2988.0,pre,gta,GTA V,2015-04-14,-30
Chicago,2015-03-16,0,redlight,1007.0,pre,gta,GTA V,2015-04-14,-29
Chicago,2015-03-16,0,speed,4142.0,pre,gta,GTA V,2015-04-14,-29
Chicago,2015-03-17,1,redlight,1092.0,pre,gta,GTA V,2015-04-14,-28
Chicago,2015-03-17,1,speed,4325.0,pre,gta,GTA V,2015-04-14,-28
Chicago,2015-03-18,2,redlight,1004.0,pre,gta,GTA V,2015-04-14,-27
Chicago,2015-03-18,2,speed,4302.0,pre,gta,GTA V,2015-04-14,-27
Chicago,2015-03-19,3,redlight,1090.0,pre,gta,GTA V,2015-04-14,-26
Chicago,2015-03-19,3,speed,4106.0,pre,gta,GTA V,2015-04-14,-26
Chicago,2015-03-20,4,redlight,1202.0,pre,gta,GTA V,2015-04-14,-25
Chicago,2015-03-20,4,speed,4541.0,pre,gta,GTA V,2015-04-14,-25
Chicago,2015-03-21,5,redlight,1439.0,pre,gta,GTA V,2015-04-14,-24
Chicago,2015-03-21,5,speed,3260.0,pre,gta,GTA V,2015-04-14,-24
Chicago,2015-03-22,6,redlight,1060.0,pre,gta,GTA V,2015-04-14,-23
Chicago,2015-03-22,6,speed,3046.0,pre,gta,GTA V,2015-04-14,-23
Chicago,2015-03-23,0,redlight,729.0,pre,gta,GTA V,2015-04-14,-22
Chicago,2015-03-23,0,speed,1898.0,pre,gta,GTA V,2015-04-14,-22
Chicago,2015-03-24,1,redlight,1103.0,pre,gta,GTA V,2015-04-14,-21
Chicago,2015-03-24,1,speed,4155.0,pre,gta,GTA V,2015-04-14,-21
Chicago,2015-03-25,2,redlight,931.0,pre,gta,GTA V,2015-04-14,-20
Chicago,2015-03-25,2,speed,3522.0,pre,gta,GTA V,2015-04-14,-20
Chicago,2015-03-26,3,redlight,1070.0,pre,gta,GTA V,2015-04-14,-19
Chicago,2015-03-26,3,speed,3833.0,pre,gta,GTA V,2015-04-14,-19
Chicago,2015-03-27,4,redlight,1268.0,pre,gta,GTA V,2015-04-14,-18
Chicago,2015-03-27,4,speed,4252.0,pre,gta,GTA V,2015-04-14,-18
Chicago,2015-03-28,5,redlight,1534.0,pre,gta,GTA V,2015-04-14,-17
Chicago,2015-03-28,5,speed,3386.0,pre,gta,GTA V,2015-04-14,-17
Chicago,2015-03-29,6,redlight,1134.0,pre,gta,GTA V,2015-04-14,-16
Chicago,2015-03-29,6,speed,2698.0,pre,gta,GTA V,2015-04-14,-16
Chicago,2015-03-30,0,redlight,1026.0,pre,gta,GTA V,2015-04-14,-15
Chicago,2015-03-30,0,speed,4381.0,pre,gta,GTA V,2015-04-14,-15
Chicago,2015-03-31,1,redlight,1076.0,pre,gta,GTA V,2015-04-14,-14
Chicago,2015-03-31,1,speed,3958.0,pre,gta,GTA V,2015-04-14,-14
NYC,2015-03-03,1,other,9.0,pre,gta,GTA V,2015-04-14,-42
NYC,2015-03-03,1,redlight,13.0,pre,gta,GTA V,2015-04-14,-42
NYC,2015-03-03,1,speed,1.0,pre,gta,GTA V,2015-04-14,-42
NYC,2015-03-03,1,unknown,48.0,pre,gta,GTA V,2015-04-14,-42
NYC,2015-03-04,2,other,9.0,pre,gta,GTA V,2015-04-14,-41
NYC,2015-03-04,2,redlight,14.0,pre,gta,GTA V,2015-04-14,-41
NYC,2015-03-04,2,unknown,38.0,pre,gta,GTA V,2015-04-14,-41
NYC,2015-03-05,3,other,2.0,pre,gta,GTA V,2015-04-14,-40
NYC,2015-03-05,3,redlight,4.0,pre,gta,GTA V,2015-04-14,-40
NYC,2015-03-05,3,unknown,13.0,pre,gta,GTA V,2015-04-14,-40
NYC,2015-03-06,4,other,8.0,pre,gta,GTA V,2015-04-14,-39
NYC,2015-03-06,4,redlight,10.0,pre,gta,GTA V,2015-04-14,-39
NYC,2015-03-06,4,unknown,44.0,pre,gta,GTA V,2015-04-14,-39
NYC,2015-03-07,5,other,7.0,pre,gta,GTA V,2015-04-14,-38
NYC,2015-03-07,5,redlight,12.0,pre,gta,GTA V,2015-04-14,-38
NYC,2015-03-07,5,unknown,37.0,pre,gta,GTA V,2015-04-14,-38
NYC,2015-03-08,6,redlight,18.0,pre,gta,GTA V,2015-04-14,-37
NYC,2015-03-08,6,unknown,19.0,pre,gta,GTA V,2015-04-14,-37
NYC,2015-03-09,0,other,9.0,pre,gta,GTA V,2015-04-14,-36
NYC,2015-03-09,0,redlight,19.0,pre,gta,GTA V,2015-04-14,-36
NYC,2015-03-09,0,unknown,63.0,pre,gta,GTA V,2015-04-14,-36
NYC,2015-03-10,1,other,15.0,pre,gta,GTA V,2015-04-14,-35
NYC,2015-03-10,1,redlight,12.0,pre,gta,GTA V,2015-04-14,-35
NYC,2015-03-10,1,speed,4.0,pre,gta,GTA V,2015-04-14,-35
NYC,2015-03-10,1,unknown,55.0,pre,gta,GTA V,2015-04-14,-35
NYC,2015-03-11,2,other,6.0,pre,gta,GTA V,2015-04-14,-34
NYC,2015-03-11,2,redlight,16.0,pre,gta,GTA V,2015-04-14,-34
NYC,2015-03-11,2,speed,2.0,pre,gta,GTA V,2015-04-14,-34
NYC,2015-03-11,2,unknown,52.0,pre,gta,GTA V,2015-04-14,-34
NYC,2015-03-12,3,other,11.0,pre,gta,GTA V,2015-04-14,-33
NYC,2015-03-12,3,redlight,15.0,pre,gta,GTA V,2015-04-14,-33
NYC,2015-03-12,3,speed,2.0,pre,gta,GTA V,2015-04-14,-33
NYC,2015-03-12,3,unknown,36.0,pre,gta,GTA V,2015-04-14,-33
NYC,2015-03-13,4,other,8.0,pre,gta,GTA V,2015-04-14,-32
NYC,2015-03-13,4,redlight,28.0,pre,gta,GTA V,2015-04-14,-32
NYC,2015-03-13,4,speed,5.0,pre,gta,GTA V,2015-04-14,-32
NYC,2015-03-13,4,unknown,39.0,pre,gta,GTA V,2015-04-14,-32
NYC,2015-03-14,5,other,4.0,pre,gta,GTA V,2015-04-14,-31
NYC,2015-03-14,5,redlight,19.0,pre,gta,GTA V,2015-04-14,-31
NYC,2015-03-14,5,unknown,30.0,pre,gta,GTA V,2015-04-14,-31
NYC,2015-03-15,6,other,2.0,pre,gta,GTA V,2015-04-14,-30
NYC,2015-03-15,6,redlight,9.0,pre,gta,GTA V,2015-04-14,-30
NYC,2015-03-15,6,unknown,12.0,pre,gta,GTA V,2015-04-14,-30
NYC,2015-03-16,0,other,16.0,pre,gta,GTA V,2015-04-14,-29
NYC,2015-03-16,0,redlight,20.0,pre,gta,GTA V,2015-04-14,-29
NYC,2015-03-16,0,unknown,59.0,pre,gta,GTA V,2015-04-14,-29
NYC,2015-03-17,1,other,7.0,pre,gta,GTA V,2015-04-14,-28
NYC,2015-03-17,1,redlight,10.0,pre,gta,GTA V,2015-04-14,-28
NYC,2015-03-17,1,speed,1.0,pre,gta,GTA V,2015-04-14,-28
NYC,2015-03-17,1,unknown,48.0,pre,gta,GTA V,2015-04-14,-28
NYC,2015-03-18,2,other,9.0,pre,gta,GTA V,2015-04-14,-27
NYC,2015-03-18,2,redlight,13.0,pre,gta,GTA V,2015-04-14,-27
NYC,2015-03-18,2,speed,1.0,pre,gta,GTA V,2015-04-14,-27
NYC,2015-03-18,2,unknown,30.0,pre,gta,GTA V,2015-04-14,-27
NYC,2015-03-19,3,other,10.0,pre,gta,GTA V,2015-04-14,-26
NYC,2015-03-19,3,redlight,14.0,pre,gta,GTA V,2015-04-14,-26
NYC,2015-03-19,3,speed,1.0,pre,gta,GTA V,2015-04-14,-26
NYC,2015-03-19,3,unknown,61.0,pre,gta,GTA V,2015-04-14,-26
NYC,2015-03-20,4,other,7.0,pre,gta,GTA V,2015-04-14,-25
NYC,2015-03-20,4,redlight,5.0,pre,gta,GTA V,2015-04-14,-25
NYC,2015-03-20,4,unknown,35.0,pre,gta,GTA V,2015-04-14,-25
NYC,2015-03-21,5,other,5.0,pre,gta,GTA V,2015-04-14,-24
NYC,2015-03-21,5,redlight,18.0,pre,gta,GTA V,2015-04-14,-24
NYC,2015-03-21,5,unknown,30.0,pre,gta,GTA V,2015-04-14,-24
NYC,2015-03-22,6,other,6.0,pre,gta,GTA V,2015-04-14,-23
NYC,2015-03-22,6,redlight,16.0,pre,gta,GTA V,2015-04-14,-23
NYC,2015-03-22,6,unknown,11.0,pre,gta,GTA V,2015-04-14,-23
NYC,2015-03-23,0,other,8.0,pre,gta,GTA V,2015-04-14,-22
NYC,2015-03-23,0,redlight,12.0,pre,gta,GTA V,2015-04-14,-22
NYC,2015-03-23,0,unknown,51.0,pre,gta,GTA V,2015-04-14,-22
NYC,2015-03-24,1,other,9.0,pre,gta,GTA V,2015-04-14,-21
NYC,2015-03-24,1,redlight,22.0,pre,gta,GTA V,2015-04-14,-21
NYC,2015-03-24,1,speed,1.0,pre,gta,GTA V,2015-04-14,-21
NYC,2015-03-24,1,unknown,51.0,pre,gta,GTA V,2015-04-14,-21
NYC,2015-03-25,2,other,10.0,pre,gta,GTA V,2015-04-14,-20
NYC,2015-03-25,2,redlight,7.0,pre,gta,GTA V,2015-04-14,-20
NYC,2015-03-25,2,speed,2.0,pre,gta,GTA V,2015-04-14,-20
NYC,2015-03-25,2,unknown,42.0,pre,gta,GTA V,2015-04-14,-20
NYC,2015-03-26,3,other,9.0,pre,gta,GTA V,2015-04-14,-19
NYC,2015-03-26,3,redlight,15.0,pre,gta,GTA V,2015-04-14,-19
NYC,2015-03-26,3,speed,3.0,pre,gta,GTA V,2015-04-14,-19
NYC,2015-03-26,3,unknown,29.0,pre,gta,GTA V,2015-04-14,-19
NYC,2015-03-27,4,other,9.0,pre,gta,GTA V,2015-04-14,-18
NYC,2015-03-27,4,redlight,22.0,pre,gta,GTA V,2015-04-14,-18
NYC,2015-03-27,4,speed,2.0,pre,gta,GTA V,2015-04-14,-18
NYC,2015-03-27,4,unknown,17.0,pre,gta,GTA V,2015-04-14,-18
NYC,2015-03-28,5,other,12.0,pre,gta,GTA V,2015-04-14,-17
NYC,2015-03-28,5,redlight,18.0,pre,gta,GTA V,2015-04-14,-17
NYC,2015-03-28,5,unknown,15.0,pre,gta,GTA V,2015-04-14,-17
