city,date,day_of_week,violation_type,count
Chicago,2014-07-01,1,redlight,1677.0
Chicago,2014-07-01,1,speed,4956.0
Chicago,2014-07-02,2,redlight,1637.0
Chicago,2014-07-02,2,speed,3977.0
Chicago,2014-07-03,3,redlight,2026.0
Chicago,2014-07-03,3,speed,4852.0
Chicago,2014-07-04,4,redlight,1958.0
Chicago,2014-07-04,4,speed,3695.0
Chicago,2014-07-05,5,redlight,1880.0
Chicago,2014-07-05,5,speed,3489.0
Chicago,2014-07-06,6,redlight,1751.0
Chicago,2014-07-06,6,speed,3599.0
Chicago,2014-07-07,0,redlight,1721.0
Chicago,2014-07-07,0,speed,4776.0
Chicago,2014-07-08,1,redlight,1566.0
Chicago,2014-07-08,1,speed,4735.0
Chicago,2014-07-09,2,redlight,1750.0
Chicago,2014-07-09,2,speed,4833.0
Chicago,2014-07-10,3,redlight,1838.0
Chicago,2014-07-10,3,speed,4589.0
Chicago,2014-07-11,4,redlight,2033.0
Chicago,2014-07-11,4,speed,4290.0
Chicago,2014-07-12,5,redlight,1863.0
Chicago,2014-07-12,5,speed,2490.0
Chicago,2014-07-13,6,redlight,1835.0
Chicago,2014-07-13,6,speed,3574.0
Chicago,2014-07-14,0,redlight,1646.0
Chicago,2014-07-14,0,speed,4430.0
Chicago,2014-07-15,1,redlight,1660.0
Chicago,2014-07-15,1,speed,4592.0
Chicago,2014-07-16,2,redlight,1761.0
Chicago,2014-07-16,2,speed,4816.0
Chicago,2014-07-17,3,redlight,1767.0
Chicago,2014-07-17,3,speed,4666.0
Chicago,2014-07-18,4,redlight,1931.0
Chicago,2014-07-18,4,speed,4452.0
Chicago,2014-07-19,5,redlight,2087.0
Chicago,2014-07-19,5,speed,3613.0
Chicago,2014-07-20,6,redlight,1910.0
Chicago,2014-07-20,6,speed,3333.0
Chicago,2014-07-21,0,redlight,1696.0
Chicago,2014-07-21,0,speed,4439.0
Chicago,2014-07-22,1,redlight,1790.0
Chicago,2014-07-22,1,speed,4573.0
Chicago,2014-07-23,2,redlight,1751.0
Chicago,2014-07-23,2,speed,4670.0
Chicago,2014-07-24,3,redlight,1751.0
Chicago,2014-07-24,3,speed,4552.0
Chicago,2014-07-25,4,redlight,1806.0
Chicago,2014-07-25,4,speed,3666.0
Chicago,2014-07-26,5,redlight,1912.0
Chicago,2014-07-26,5,speed,3577.0
Chicago,2014-07-27,6,redlight,1822.0
Chicago,2014-07-27,6,speed,3590.0
Chicago,2014-07-28,0,redlight,1626.0
Chicago,2014-07-28,0,speed,4060.0
Chicago,2014-07-29,1,redlight,1444.0
Chicago,2014-07-29,1,speed,3251.0
Chicago,2014-07-30,2,redlight,1598.0
Chicago,2014-07-30,2,speed,3384.0
Chicago,2014-07-31,3,redlight,1680.0
Chicago,2014-07-31,3,speed,3707.0
Chicago,2014-08-01,4,redlight,1804.0
Chicago,2014-08-01,4,speed,3072.0
Chicago,2014-08-02,5,redlight,1962.0
Chicago,2014-08-02,5,speed,3681.0
Chicago,2014-08-03,6,redlight,1697.0
Chicago,2014-08-03,6,speed,3096.0
Chicago,2014-08-04,0,redlight,1604.0
Chicago,2014-08-04,0,speed,2801.0
Chicago,2014-08-05,1,redlight,1536.0
Chicago,2014-08-05,1,speed,3052.0
