days_from_release,count,date,game,release_date
-30,4149.0,2015-03-15,GTA V,2015-04-14
-29,5244.0,2015-03-16,GTA V,2015-04-14
-28,5483.0,2015-03-17,GTA V,2015-04-14
-27,5359.0,2015-03-18,GTA V,2015-04-14
-26,5282.0,2015-03-19,GTA V,2015-04-14
-25,5790.0,2015-03-20,GTA V,2015-04-14
-24,4752.0,2015-03-21,GTA V,2015-04-14
-23,4139.0,2015-03-22,GTA V,2015-04-14
-22,2698.0,2015-03-23,GTA V,2015-04-14
-21,5341.0,2015-03-24,GTA V,2015-04-14
-20,4514.0,2015-03-25,GTA V,2015-04-14
-19,4959.0,2015-03-26,GTA V,2015-04-14
-18,5570.0,2015-03-27,GTA V,2015-04-14
-17,4965.0,2015-03-28,GTA V,2015-04-14
-16,3867.0,2015-03-29,GTA V,2015-04-14
-15,5448.0,2015-03-30,GTA V,2015-04-14
-14,5084.0,2015-03-31,GTA V,2015-04-14
-13,6051.0,2015-04-01,GTA V,2015-04-14
-12,4310.0,2015-04-02,GTA V,2015-04-14
-11,4146.0,2015-04-03,GTA V,2015-04-14
-10,4892.0,2015-04-04,GTA V,2015-04-14
-9,5251.0,2015-04-05,GTA V,2015-04-14
-8,3565.0,2015-04-06,GTA V,2015-04-14
-7,3319.0,2015-04-07,GTA V,2015-04-14
-6,3419.0,2015-04-08,GTA V,2015-04-14
-5,2796.0,2015-04-09,GTA V,2015-04-14
-4,4188.0,2015-04-10,GTA V,2015-04-14
-3,5142.0,2015-04-11,GTA V,2015-04-14
-2,4139.0,2015-04-12,GTA V,2015-04-14
-1,5071.0,2015-04-13,GTA V,2015-04-14
0,5455.0,2015-04-14,GTA V,2015-04-14
1,4254.0,2015-04-15,GTA V,2015-04-14
2,5019.0,2015-04-16,GTA V,2015-04-14
3,6113.0,2015-04-17,GTA V,2015-04-14
4,4457.0,2015-04-18,GTA V,2015-04-14
5,3630.0,2015-04-19,GTA V,2015-04-14
6,4772.0,2015-04-20,GTA V,2015-04-14
7,5524.0,2015-04-21,GTA V,2015-04-14
8,4820.0,2015-04-22,GTA V,2015-04-14
9,5948.0,2015-04-23,GTA V,2015-04-14
10,5783.0,2015-04-24,GTA V,2015-04-14
11,4117.0,2015-04-25,GTA V,2015-04-14
12,4814.0,2015-04-26,GTA V,2015-04-14
13,5790.0,2015-04-27,GTA V,2015-04-14
14,6071.0,2015-04-28,GTA V,2015-04-14
15,5898.0,2015-04-29,GTA V,2015-04-14
16,5811.0,2015-04-30,GTA V,2015-04-14
17,6758.0,2015-05-01,GTA V,2015-04-14
18,5136.0,2015-05-02,GTA V,2015-04-14
19,4279.0,2015-05-03,GTA V,2015-04-14
20,5708.0,2015-05-04,GTA V,2015-04-14
21,4638.0,2015-05-05,GTA V,2015-04-14
22,5636.0,2015-05-06,GTA V,2015-04-14
23,6515.0,2015-05-07,GTA V,2015-04-14
24,5935.0,2015-05-08,GTA V,2015-04-14
25,4804.0,2015-05-09,GTA V,2015-04-14
26,4867.0,2015-05-10,GTA V,2015-04-14
27,4799.0,2015-05-11,GTA V,2015-04-14
28,5677.0,2015-05-12,GTA V,2015-04-14
29,6148.0,2015-05-13,GTA V,2015-04-14
30,5840.0,2015-05-14,GTA V,2015-04-14
31,6541.0,2015-05-15,GTA V,2015-04-14
32,5298.0,2015-05-16,GTA V,2015-04-14
33,4838.0,2015-05-17,GTA V,2015-04-14
34,6137.0,2015-05-18,GTA V,2015-04-14
35,5307.0,2015-05-19,GTA V,2015-04-14
36,5200.0,2015-05-20,GTA V,2015-04-14
37,6509.0,2015-05-21,GTA V,2015-04-14
38,6409.0,2015-05-22,GTA V,2015-04-14
39,5664.0,2015-05-23,GTA V,2015-04-14
40,4210.0,2015-05-24,GTA V,2015-04-14
41,4481.0,2015-05-25,GTA V,2015-04-14
42,4966.0,2015-05-26,GTA V,2015-04-14
43,6015.0,2015-05-27,GTA V,2015-04-14
44,6081.0,2015-05-28,GTA V,2015-04-14
45,6044.0,2015-05-29,GTA V,2015-04-14
46,3573.0,2015-05-30,GTA V,2015-04-14
47,4436.0,2015-05-31,GTA V,2015-04-14
48,5633.0,2015-06-01,GTA V,2015-04-14
49,5891.0,2015-06-02,GTA V,2015-04-14
50,6300.0,2015-06-03,GTA V,2015-04-14
51,5882.0,2015-06-04,GTA V,2015-04-14
52,5746.0,2015-06-05,GTA V,2015-04-14
53,5697.0,2015-06-06,GTA V,2015-04-14
54,4318.0,2015-06-07,GTA V,2015-04-14
55,5950.0,2015-06-08,GTA V,2015-04-14
56,6056.0,2015-06-09,GTA V,2015-04-14
57,6083.0,2015-06-10,GTA V,2015-04-14
58,5540.0,2015-06-11,GTA V,2015-04-14
59,4707.0,2015-06-12,GTA V,2015-04-14
60,5268.0,2015-06-13,GTA V,2015-04-14
61,4560.0,2015-06-14,GTA V,2015-04-14
62,4583.0,2015-06-15,GTA V,2015-04-14
63,6407.0,2015-06-16,GTA V,2015-04-14
64,4934.0,2015-06-17,GTA V,2015-04-14
65,5701.0,2015-06-18,GTA V,2015-04-14
66,6815.0,2015-06-19,GTA V,2015-04-14
67,5042.0,2015-06-20,GTA V,2015-04-14
68,5452.0,2015-06-21,GTA V,2015-04-14
69,3795.0,2015-06-22,GTA V,2015-04-14
70,4585.0,2015-06-23,GTA V,2015-04-14
71,4179.0,2015-06-24,GTA V,2015-04-14
72,4097.0,2015-06-25,GTA V,2015-04-14
73,3780.0,2015-06-26,GTA V,2015-04-14
74,5490.0,2015-06-27,GTA V,2015-04-14
75,4634.0,2015-06-28,GTA V,2015-04-14
76,4559.0,2015-06-29,GTA V,2015-04-14
77,4789.0,2015-06-30,GTA V,2015-04-14
78,4889.0,2015-07-01,GTA V,2015-04-14
79,5558.0,2015-07-02,GTA V,2015-04-14
80,5691.0,2015-07-03,GTA V,2015-04-14
81,5512.0,2015-07-04,GTA V,2015-04-14
82,4881.0,2015-07-05,GTA V,2015-04-14
83,4973.0,2015-07-06,GTA V,2015-04-14
