city,date,hour,day_of_week,violation_type,count
NYC,2010-01-01,1.0,4,redlight,2
NYC,2010-01-01,6.0,4,redlight,1
NYC,2010-01-01,21.0,4,redlight,1
NYC,2010-01-02,23.0,5,redlight,2
NYC,2010-01-03,13.0,6,redlight,1
NYC,2010-01-03,14.0,6,redlight,1
NYC,2010-01-03,20.0,6,redlight,1
NYC,2010-01-04,9.0,0,redlight,2
NYC,2010-01-04,11.0,0,redlight,1
NYC,2010-01-04,19.0,0,redlight,1
NYC,2010-01-05,10.0,1,redlight,1
NYC,2010-01-05,15.0,1,redlight,2
NYC,2010-01-05,19.0,1,redlight,2
NYC,2010-01-06,11.0,2,other,1
NYC,2010-01-06,14.0,2,redlight,1
NYC,2010-01-06,22.0,2,redlight,1
NYC,2010-01-07,6.0,3,redlight,2
NYC,2010-01-08,16.0,4,other,1
NYC,2010-01-09,10.0,5,redlight,1
NYC,2010-01-09,13.0,5,redlight,1
NYC,2010-01-09,14.0,5,redlight,2
NYC,2010-01-09,15.0,5,redlight,2
NYC,2010-01-10,2.0,6,other,1
NYC,2010-01-10,4.0,6,redlight,1
NYC,2010-01-11,17.0,0,other,1
NYC,2010-01-11,17.0,0,redlight,1
NYC,2010-01-13,9.0,2,redlight,1
NYC,2010-01-13,11.0,2,other,1
NYC,2010-01-13,15.0,2,redlight,2
NYC,2010-01-13,17.0,2,other,1
NYC,2010-01-14,15.0,3,redlight,1
NYC,2010-01-14,17.0,3,other,1
NYC,2010-01-14,17.0,3,redlight,2
NYC,2010-01-14,19.0,3,other,1
NYC,2010-01-14,23.0,3,redlight,2
NYC,2010-01-15,8.0,4,redlight,2
NYC,2010-01-15,11.0,4,redlight,1
NYC,2010-01-15,16.0,4,redlight,1
NYC,2010-01-15,17.0,4,redlight,1
NYC,2010-01-16,6.0,5,redlight,2
NYC,2010-01-16,7.0,5,other,1
NYC,2010-01-16,10.0,5,redlight,2
NYC,2010-01-16,14.0,5,redlight,2
NYC,2010-01-17,14.0,6,redlight,2
NYC,2010-01-17,15.0,6,redlight,1
NYC,2010-01-17,17.0,6,redlight,2
NYC,2010-01-17,18.0,6,redlight,1
NYC,2010-01-18,2.0,0,redlight,2
NYC,2010-01-18,13.0,0,redlight,3
NYC,2010-01-18,21.0,0,redlight,2
NYC,2010-01-19,6.0,1,redlight,2
NYC,2010-01-19,16.0,1,redlight,1
NYC,2010-01-19,18.0,1,redlight,1
NYC,2010-01-19,21.0,1,other,1
NYC,2010-01-19,21.0,1,redlight,2
NYC,2010-01-20,7.0,2,redlight,3
NYC,2010-01-20,8.0,2,redlight,2
NYC,2010-01-20,13.0,2,redlight,1
NYC,2010-01-20,14.0,2,redlight,1
NYC,2010-01-20,23.0,2,redlight,1
NYC,2010-01-21,11.0,3,other,1
NYC,2010-01-21,15.0,3,redlight,3
NYC,2010-01-21,19.0,3,redlight,2
NYC,2010-01-22,18.0,4,other,1
NYC,2010-01-23,0.0,5,redlight,1
NYC,2010-01-23,1.0,5,redlight,1
NYC,2010-01-23,10.0,5,other,1
NYC,2010-01-23,12.0,5,redlight,2
NYC,2010-01-23,15.0,5,redlight,1
NYC,2010-01-24,5.0,6,redlight,2
NYC,2010-01-24,6.0,6,redlight,2
NYC,2010-01-25,6.0,0,other,1
NYC,2010-01-25,19.0,0,redlight,1
NYC,2010-01-26,0.0,1,redlight,1
NYC,2010-01-26,3.0,1,redlight,2
NYC,2010-01-27,11.0,2,other,1
NYC,2010-01-27,14.0,2,redlight,1
NYC,2010-01-27,15.0,2,redlight,3
NYC,2010-01-27,23.0,2,redlight,1
NYC,2010-01-28,7.0,3,redlight,2
NYC,2010-01-28,10.0,3,redlight,1
NYC,2010-01-28,11.0,3,redlight,4
NYC,2010-01-28,14.0,3,other,1
NYC,2010-01-28,14.0,3,redlight,1
NYC,2010-01-29,10.0,4,other,1
NYC,2010-01-29,10.0,4,redlight,2
NYC,2010-01-29,11.0,4,other,1
NYC,2010-01-29,15.0,4,redlight,3
NYC,2010-01-29,22.0,4,redlight,1
NYC,2010-01-30,1.0,5,redlight,1
NYC,2010-01-30,9.0,5,redlight,1
NYC,2010-01-30,11.0,5,redlight,2
NYC,2010-01-30,18.0,5,redlight,2
NYC,2010-01-30,19.0,5,redlight,1
NYC,2010-01-31,2.0,6,redlight,2
NYC,2010-01-31,10.0,6,redlight,2
NYC,2010-01-31,19.0,6,redlight,1
NYC,2010-02-01,5.0,0,redlight,2
