game,date,avg_players,peak_players
Elden Ring,2022-03-01,522066,952523
Elden Ring,2022-04-01,211468,457067
Elden Ring,2022-05-01,90047,192569
Elden Ring,2022-06-01,50150,88390
Elden Ring,2022-07-01,35632,52347
Elden Ring,2022-08-01,31075,47252
Elden Ring,2022-09-01,27756,45238
Elden Ring,2022-10-01,24608,39776
Elden Ring,2022-11-01,23942,36112
Elden Ring,2022-12-01,40312,85651
Elden Ring,2023-01-01,67885,106913
Elden Ring,2023-02-01,50443,81740
Elden Ring,2023-03-01,43807,74718
Elden Ring,2023-04-01,33295,59357
Elden Ring,2023-05-01,25426,43846
Elden Ring,2023-06-01,20992,34628
Elden Ring,2023-07-01,35293,56698
Elden Ring,2023-08-01,27705,45933
Elden Ring,2023-09-01,21544,37349
Elden Ring,2023-10-01,32574,67367
Elden Ring,2023-11-01,26967,51640
Elden Ring,2023-12-01,33432,88401
Elden Ring,2024-01-01,54179,99007
Elden Ring,2024-02-01,48618,108636
Elden Ring,2024-03-01,62147,111914
Elden Ring,2024-04-01,41731,76642
Elden Ring,2024-05-01,44657,82749
Elden Ring,2024-06-01,219194,780786
Elden Ring,2024-07-01,209287,431218
Elden Ring,2024-08-01,80731,162341
Elden Ring,2024-09-01,43414,74818
Elden Ring,2024-10-01,32692,61587
Elden Ring,2024-11-01,27544,46103
Elden Ring,2024-12-01,36631,78593
Elden Ring,2025-01-01,49013,83919
Elden Ring,2025-02-01,42583,69179
Elden Ring,2025-03-01,40065,74406
Elden Ring,2025-04-01,35063,62189
Elden Ring,2025-05-01,33344,55927
Elden Ring,2025-06-01,35448,57823
Elden Ring,2025-07-01,37735,61614
Elden Ring,2025-08-01,30037,50646
Elden Ring,2025-09-01,21685,40335
Elden Ring,2025-10-01,19687,34896
Elden Ring,2025-11-01,21927,36017
Fallout 4,2015-11-01,226297,471955
Fallout 4,2015-12-01,94136,201635
Fallout 4,2016-01-01,54826,119272
Fallout 4,2016-02-01,32733,61739
Fallout 4,2016-03-01,28526,57102
Fallout 4,2016-04-01,26561,52480
Fallout 4,2016-05-01,29526,74283
Fallout 4,2016-06-01,25232,45855
Fallout 4,2016-07-01,24357,41541
Fallout 4,2016-08-01,23658,45998
Fallout 4,2016-09-01,24394,48954
Fallout 4,2016-10-01,20786,39948
Fallout 4,2016-11-01,19698,40096
Fallout 4,2016-12-01,21058,37794
Fallout 4,2017-01-01,22809,41471
Fallout 4,2017-02-01,19573,34587
Fallout 4,2017-03-01,16898,31843
Fallout 4,2017-04-01,16846,29010
Fallout 4,2017-05-01,18936,49675
Fallout 4,2017-06-01,21782,38111
Fallout 4,2017-07-01,21692,36800
Fallout 4,2017-08-01,18748,32696
Fallout 4,2017-09-01,18244,31836
Fallout 4,2017-10-01,18719,35886
Fallout 4,2017-11-01,18367,33736
Fallout 4,2017-12-01,20002,34512
Fallout 4,2018-01-01,20848,37190
Fallout 4,2018-02-01,21592,45111
Fallout 4,2018-03-01,17147,30503
Fallout 4,2018-04-01,14976,26203
Fallout 4,2018-05-01,15061,25653
Fallout 4,2018-06-01,25521,47573
Fallout 4,2018-07-01,23470,43476
Fallout 4,2018-08-01,18791,32239
Fallout 4,2018-09-01,16579,28436
Fallout 4,2018-10-01,18553,36389
Fallout 4,2018-11-01,18933,33389
Fallout 4,2018-12-01,16971,31485
Fallout 4,2019-01-01,14082,25206
Fallout 4,2019-02-01,12001,20610
Fallout 4,2019-03-01,11599,19879
Fallout 4,2019-04-01,10310,17822
Fallout 4,2019-05-01,11233,19712
Fallout 4,2019-06-01,12941,20831
Fallout 4,2019-07-01,14018,25568
Fallout 4,2019-08-01,14797,24918
Fallout 4,2019-09-01,11968,20097
Fallout 4,2019-10-01,12136,23275
Fallout 4,2019-11-01,13004,22661
Fallout 4,2019-12-01,13979,23706
Fallout 4,2020-01-01,14376,23023
Fallout 4,2020-02-01,13790,21988
Fallout 4,2020-03-01,14345,24354
Fallout 4,2020-04-01,15986,24455
Fallout 4,2020-05-01,15136,23912
Fallout 4,2020-06-01,12924,20948
Fallout 4,2020-07-01,15148,23204
Fallout 4,2020-08-01,15216,24206
Fallout 4,2020-09-01,12872,19804
Fallout 4,2020-10-01,15057,29702
Fallout 4,2020-11-01,16615,26621
Fallout 4,2020-12-01,14459,23305
Fallout 4,2021-01-01,15083,23877
Fallout 4,2021-02-01,13773,21274
Fallout 4,2021-03-01,12642,20908
Fallout 4,2021-04-01,12609,19732
Fallout 4,2021-05-01,13134,21237
Fallout 4,2021-06-01,12430,19487
Fallout 4,2021-07-01,14033,20199
Fallout 4,2021-08-01,19310,34180
Fallout 4,2021-09-01,16614,26916
Fallout 4,2021-10-01,17831,32662
Fallout 4,2021-11-01,17021,27235
Fallout 4,2021-12-01,15426,23085
Fallout 4,2022-01-01,16954,24939
Fallout 4,2022-02-01,15164,23963
Fallout 4,2022-03-01,13503,21708
Fallout 4,2022-04-01,13727,21733
Fallout 4,2022-05-01,13396,20626
Fallout 4,2022-06-01,13997,22069
Fallout 4,2022-07-01,16213,23753
Fallout 4,2022-08-01,16706,27516
Fallout 4,2022-09-01,14754,24300
Fallout 4,2022-10-01,18497,31142
Fallout 4,2022-11-01,17046,28190
Fallout 4,2022-12-01,15924,24301
Fallout 4,2023-01-01,17534,27076
Fallout 4,2023-02-01,15257,25698
Fallout 4,2023-03-01,14218,23467
Fallout 4,2023-04-01,14202,22530
Fallout 4,2023-05-01,13031,20281
Fallout 4,2023-06-01,15064,26021
Fallout 4,2023-07-01,17888,27022
Fallout 4,2023-08-01,17499,27730
Fallout 4,2023-09-01,13668,22953
Fallout 4,2023-10-01,11947,21318
Fallout 4,2023-11-01,13335,20753
Fallout 4,2023-12-01,14343,22408
Fallout 4,2024-01-01,15334,24668
Fallout 4,2024-02-01,14588,24354
Fallout 4,2024-03-01,14791,25580
Fallout 4,2024-04-01,59102,186746
Fallout 4,2024-05-01,76864,167779
Fallout 4,2024-06-01,35491,80807
Fallout 4,2024-07-01,21888,37963
Fallout 4,2024-08-01,19941,34798
Fallout 4,2024-09-01,14072,24761
Fallout 4,2024-10-01,13089,24261
Fallout 4,2024-11-01,13939,22872
Fallout 4,2024-12-01,13235,20744
Fallout 4,2025-01-01,13919,22096
Fallout 4,2025-02-01,13117,21399
Fallout 4,2025-03-01,13207,22747
Fallout 4,2025-04-01,13041,21770
Fallout 4,2025-05-01,11980,19602
Fallout 4,2025-06-01,11679,17992
Fallout 4,2025-07-01,12233,19095
Fallout 4,2025-08-01,13518,21622
Fallout 4,2025-09-01,12515,20449
Fallout 4,2025-10-01,13410,25138
Fallout 4,2025-11-01,15475,25110
GTA V,2015-04-01,192714,360761
GTA V,2015-05-01,93361,215966
GTA V,2015-06-01,46953,85195
GTA V,2015-07-01,37657,60908
GTA V,2015-08-01,30918,50693
GTA V,2015-09-01,25387,46917
GTA V,2015-10-01,30924,73902
GTA V,2015-11-01,34465,77141
GTA V,2015-12-01,43874,84558
GTA V,2016-01-01,46993,93726
GTA V,2016-02-01,40013,72735
GTA V,2016-03-01,34000,64633
GTA V,2016-04-01,31671,65878
GTA V,2016-05-01,25230,48053
GTA V,2016-06-01,40152,78330
GTA V,2016-07-01,45166,71778
GTA V,2016-08-01,38791,63873
GTA V,2016-09-01,31643,61921
GTA V,2016-10-01,42084,86192
GTA V,2016-11-01,42991,86759
GTA V,2016-12-01,61843,126681
GTA V,2017-01-01,63178,116125
GTA V,2017-02-01,53270,104902
GTA V,2017-03-01,48616,98798
GTA V,2017-04-01,49108,96503
GTA V,2017-05-01,42879,83483
GTA V,2017-06-01,60285,131936
GTA V,2017-07-01,60840,112074
GTA V,2017-08-01,54028,121830
GTA V,2017-09-01,45842,101433
GTA V,2017-10-01,39774,84553
GTA V,2017-11-01,41915,85105
GTA V,2017-12-01,78066,170316
GTA V,2018-01-01,77566,167754
GTA V,2018-02-01,53395,94308
GTA V,2018-03-01,46028,94489
GTA V,2018-04-01,42779,89792
GTA V,2018-05-01,41278,82956
GTA V,2018-06-01,48927,118332
GTA V,2018-07-01,80395,162021
GTA V,2018-08-01,68312,123556
GTA V,2018-09-01,49147,97920
GTA V,2018-10-01,43265,81337
GTA V,2018-11-01,43009,81360
GTA V,2018-12-01,55641,120693
GTA V,2019-01-01,59851,118210
GTA V,2019-02-01,58124,119439
GTA V,2019-03-01,60229,126518
GTA V,2019-04-01,48502,91586
GTA V,2019-05-01,55410,108557
GTA V,2019-06-01,56717,109164
GTA V,2019-07-01,92617,197555
GTA V,2019-08-01,97648,176207
GTA V,2019-09-01,66131,135072
GTA V,2019-10-01,58656,117002
GTA V,2019-11-01,68842,138540
GTA V,2019-12-01,97777,204137
GTA V,2020-01-01,111300,214796
GTA V,2020-02-01,142724,267360
GTA V,2020-03-01,116386,209493
GTA V,2020-04-01,126086,243284
GTA V,2020-05-01,141369,260562
GTA V,2020-06-01,99752,180302
GTA V,2020-07-01,83654,134093
GTA V,2020-08-01,88398,154677
GTA V,2020-09-01,68047,126174
GTA V,2020-10-01,67193,128578
GTA V,2020-11-01,76718,157355
GTA V,2020-12-01,106914,258539
GTA V,2021-01-01,101250,184941
GTA V,2021-02-01,90647,146438
GTA V,2021-03-01,89792,183227
GTA V,2021-04-01,92647,178142
GTA V,2021-05-01,84756,146011
GTA V,2021-06-01,88915,155599
GTA V,2021-07-01,112995,218784
GTA V,2021-08-01,118900,214591
GTA V,2021-09-01,81232,151408
GTA V,2021-10-01,73027,136046
GTA V,2021-11-01,73217,136818
GTA V,2021-12-01,91251,173538
GTA V,2022-01-01,96452,158823
GTA V,2022-02-01,92515,155111
GTA V,2022-03-01,82996,147473
GTA V,2022-04-01,83231,153693
GTA V,2022-05-01,79745,138240
GTA V,2022-06-01,84516,133299
GTA V,2022-07-01,98623,197328
GTA V,2022-08-01,118088,195472
GTA V,2022-09-01,96433,175811
GTA V,2022-10-01,91790,168100
GTA V,2022-11-01,89047,164601
GTA V,2022-12-01,106294,180121
GTA V,2023-01-01,110334,176528
GTA V,2023-02-01,96887,174026
GTA V,2023-03-01,90210,167901
GTA V,2023-04-01,90736,157231
GTA V,2023-05-01,89300,152862
GTA V,2023-06-01,114593,207718
GTA V,2023-07-01,116997,180937
GTA V,2023-08-01,103806,170280
GTA V,2023-09-01,91128,166502
GTA V,2023-10-01,86737,166618
GTA V,2023-11-01,88008,167317
GTA V,2023-12-01,145070,295651
GTA V,2024-01-01,123806,218773
GTA V,2024-02-01,108198,185992
GTA V,2024-03-01,104563,193834
GTA V,2024-04-01,95409,169535
GTA V,2024-05-01,92747,152030
GTA V,2024-06-01,102804,171685
